name,maker,type,bottlesize,alcohol,country,city,website
Adler Berlin Dry Gin,Preussische Spirituosen Manufaktur,Dry Gin,0.7l,42%,Germany,Berlin,http://www.adlergin.de
Arctic Velvet Premium Gin,ThoCon AG,Dry Gin,0.7l,40%,Switzerland,Cham,http://www.arctic-velvet.com
Beefeater 24 London Dry Gin,Pernod Ricard,Dry Gin,0.7l,45%,England,London,http://www.beefeatergin.com
Beefeater London Distilled Dry Gin,Pernod Ricard,Dry Gin,0.7l,47%,England,London,http://www.beefeatergin.com
Beefeater London Distilled Dry Gin,Pernod Ricard,Dry Gin,1l,47%,England,London,http://www.beefeatergin.com
Bombay Sapphire London Dry Gin,Bombay Sapphire,Dry Gin,0.7l,40%,England,London,http://www.bombaysapphire.com
Bombay Sapphire London Dry Gin,Bombay Sapphire,Dry Gin,1l,40%,England,London,http://www.bombaysapphire.com
Brecon Special Reserve Gin,Brecon,Dry Gin,0.7l,40%,England,Brecon Beacons National Park,http://www.welsh-whisky.co.uk/Our-Spirits/Brecon-Gin.aspx
Brokers Premium Dry Gin,Broker's Gin Limited,Dry Gin,0.7l,47%,England,London,http://www.brokersgin.com
Bulldog Gin,Bulldog Gin,Dry Gin,0.7l,40%,England,London,http://www.bulldoggin.com
Club Charles Gin,punct handelsgesellschaft mbH,Dry Gin,0.7l,44%,Germany,Hamburg,http://www.club-charles.de
Chase Seville Orange Gin,,Dry Gin,0.7l,40%,England,,
Citadelle Gin,Cognac Ferrand,Dry Gin,0.7l,44%,France,Viroflay,http://www.citadellegin.com
Corsair Barrel Aged Gin,Corsair Artisan Distillers,Dry Gin,0.7l,46%,USA,Tennessee,http://www.corsairartisan.com
Corsair Gin,Corsair Artisan Distillers,Dry Gin,0.7l,44%,USA,Tennessee,http://www.corsairartisan.com
Edinburgh Gin,The Spencerfield Spirit Company Ltd,Dry Gin,0.2l,43%,Scotland,Innverkeithing,http://www.spencerfieldspirit.com/products/edinburgh-gin/
Edinburgh Gin,The Spencerfield Spirit Company Ltd,Dry Gin,0.7l,43%,Scotland,Innverkeithing,http://www.spencerfieldspirit.com/products/edinburgh-gin/
Feel! Munich Dry Gin,Korbinian Achternbusch,Dry Gin,0.7l,47%,Germany,Munich,http://www.feel-gin.de
Fifty Pounds Gin,Thames Distillers,Dry Gin,0.7l,43.5%,England,London,http://www.fiftypoundsgin.co.uk
Finsbury Platinum,Finsbury,Dry Gin,1l,47%,England,London,
G-Vine Gin Floraison,G'Vine,Dry Gin,0.7l,40%,France,,http://www.g-vine.com
G-Vine Gin Nouaison,G'Vine,Dry Gin,0.7l,43.9%,France,,http://www.g-vine.com
Geranium Gin,Hammer & Son Ltd.,Premium Dry Gin,0.7l,44%,England,,http://www.geraniumgin.com
Gilbey's Special London Dry Gin ,Beam Inc.,Dry Gin,1l,47.5%,USA,Deerfield,http://www.beamglobal.com
Gordon's Sloe Gin,Tanqueray Gordon & Co.,Sloe Gin,0.7l,26%,Scotland,Windygates,http://www.gordons-gin.co.uk
Gordon's Special London Dry Gin,Tanqueray Gordon & Co.,Dry Gin,0.7l,37.5%,Scotland,Windygates,http://www.gordons-gin.co.uk
Gordon's Special London Dry Gin,Tanqueray Gordon & Co.,Dry Gin,1l,37.5%,Scotland,Windygates,http://www.gordons-gin.co.uk
Hayman's Sloe Gin,Hayman Distillers London,Sloe Gin,0.7l,26%,England,London,
Hendrick's Gin,William Grant & Sons,Dry Gin,0.7l,41.4%,Schottland,,http://www.hendricksgin.com
Magellan Blue Gin,Angeac Distillery,Dry Gin,1l,44%,France,,http://www.magellangin.com
Martin Miller's Gin Westbourne Strength,Martin Miller's,Dry Gin,0.7l,45.2%,England,London,http://www.martinmillersgin.com
Master of Malt Cream Gin,Master Of Malt,Dry Gin,0.7l,43.8%,England,Tunbridge Wells,http://www.masterofmalt.com
Mayfair London Dry Gin,Mayfair Brands,Dry Gin,0.7l,43%,England,London,http://www.mayfairbrands.com
